,T1,T2,T3,T4,T5,E,STD
n_iters,2366.0,2275.0,2326.0,2259.0,2359.0,2317.0,48.40970976983853
rmse_train,30.306778581200962,29.417433226069566,29.416303035384665,30.09737652572685,29.24363071501875,29.696304416680157,0.4729220170541682
r2_train,0.3049333703607321,0.2893000027983801,0.3034200938905933,0.2842585567630621,0.3170399357553906,0.29979039191363166,0.013119240578550255
rmse_test,27.084235023100405,31.19485973132321,30.843275791674603,28.594555955558125,31.431684175579502,29.829722135447167,1.9052892840560347
r2_test,0.27593415926325826,0.3187731180564122,0.2848084868258526,0.3388497693721052,0.23440711009980553,0.29055452872348675,0.04039809361836928
Const,4.5821381781042465,4.426605164776107,4.4590408104650425,4.4579386492755315,4.5082363598545525,4.486791832495096,0.06077798481238978
Page Popularity/likes,-0.1259513503540406,-0.10531725610812394,-0.10118667987858518,-0.08112553396507201,-0.32701504907224765,-0.14811917387561388,0.10126445268191676
Page Checkins,-0.47957958833915826,-0.4410685654876195,-0.47954680944843453,-0.5717774774451749,-0.5435645590999164,-0.5031073999640607,0.053173860107912425
Page talking about,-0.18421759442084099,-0.14542240570792966,-0.15470539114641835,-0.2419406524291296,-0.11133331950923761,-0.16752387264271124,0.049057884255672035
Page Category,0.04712219709582925,0.03876665251834254,0.06871600001848753,0.023958645516147566,-0.002649662617194254,0.03518276650632252,0.026632431248940613
Derived,0.032484639537050386,0.04987477367324803,-0.07301021313797518,-0.0017905171670678998,0.16542123119991028,0.03459598282103312,0.08697156952693795
Derived.1,-0.002469787688154915,0.03244844454484128,0.0025483390571095442,0.048270814335152915,0.042623920119887686,0.024684346073767304,0.023268975128226028
Derived.2,0.6213454033160749,0.5433590221704141,0.5565837337560313,0.645598080405355,0.606050302114531,0.5945873083524813,0.043353499641780494
Derived.3,0.7542962746276145,0.6746468744505586,0.5959715260854443,0.6253537662496417,0.6555471760576413,0.66116312349418,0.060040379505122206
Derived.4,0.46146080283080376,0.4012949241740064,0.4393074488765792,0.511549797748465,0.49136573896230673,0.4609957425184323,0.043338306546823184
Derived.5,-0.1339107792385969,-0.11980303610848149,-0.011373695989601782,0.5186869084164071,-0.21389643064658184,0.007940593286629011,0.2944854631873882
Derived.6,-0.23277430770285865,-0.13786452784558081,-0.12645894263477744,-0.2056553538520152,-0.298489944999751,-0.2002486154069966,0.07084349389462613
Derived.7,0.8145361801682782,0.8445603967346798,0.7586256568927272,0.7905883319587198,0.733660486071213,0.7883942103651236,0.04394543377012277
Derived.8,1.2489844316992884,1.2114485367558054,1.0093458481994162,1.0114977952124296,1.067905443135788,1.1098364110005456,0.11315281525239029
Derived.9,0.33312897075744946,0.39018269414202433,0.3565337214980697,0.355761955171225,0.3202782160259049,0.35117711151893466,0.026700312101110124
Derived.10,-0.4029611396983074,-0.34388079937201754,-0.2771154196806522,-0.45350550873144596,-0.13896824681721165,-0.3232862228599269,0.12230510079970693
Derived.11,0.034280038319147825,0.06814230798573168,0.03355466163932362,0.009665093950278295,-0.007088370950660741,0.027710746188764134,0.028498430898145063
Derived.12,0.6926820991576478,0.604121918981883,0.6764785282382723,0.7590843092535741,0.6658670858537096,0.6796467882970173,0.055642077201634714
Derived.13,1.2778062527342768,1.0562511617893577,1.0964511317642782,0.840241672683473,1.0562401977903113,1.0653980833523393,0.15567953024016498
Derived.14,0.358734659260471,0.40131644808034717,0.3941202100510851,0.49137473499549694,0.41023134127174704,0.4111554787318294,0.048915570943146
Derived.15,0.059959274175422295,0.056659043148050744,-0.03300245330623087,0.04673532478646237,0.15109824585130566,0.05628988693100203,0.06531967024380719
Derived.16,-0.14941718899832793,-0.09595090461884723,-0.11281785438195456,-0.07670737963335744,-0.10091607371434583,-0.1071618802693666,0.026970696331806404
Derived.17,0.5475249702017617,0.48181626300264296,0.4970535736441007,0.5941442743944915,0.5274292102725232,0.529593658303104,0.044256455548239905
Derived.18,0.6789728876471259,0.5978056530234471,0.5139148705668289,0.593686789868423,0.5816551969837775,0.5932070796179205,0.05873212756828241
Derived.19,0.3347064898081725,0.2917852006145005,0.33482183447724373,0.39753409100718,0.3683293746833563,0.3454353981180906,0.03982621267010508
Derived.20,0.09380417255769677,0.07809400706751683,0.05941072426954395,0.1316507661270763,0.20946172570966837,0.11448427914630044,0.05937259213687233
Derived.21,-0.2521887455875891,-0.18361379237857303,-0.13734062226448623,-0.25157131604511923,-0.3400775197864352,-0.23295839921244052,0.0770850218579007
Derived.22,0.47897782047482956,0.6961144545306407,0.39710012082321744,0.3224694945268675,0.36131468099100916,0.45119531426931286,0.1486038422940769
Derived.23,-0.1416001965214601,-0.08226792010605768,-0.09309144227367751,-0.4195056983405527,-0.10164569647051852,-0.16762219074245333,0.14257938785354005
Derived.24,0.29735756523063994,0.3299874439322237,0.3699955060937418,0.3560969498469488,0.2788450401896073,0.32645650105863233,0.03840660097496583
CC1,1.7247785759832999,1.5606247412659802,1.7335468761971982,1.4842171194117917,1.6671931028979055,1.634072083151235,0.10847917591622061
CC2,6.328548599282761,5.852235753572691,6.223285115661985,5.829230038381402,6.286377163597258,6.103935334099219,0.24330854318063266
CC3,-0.7016937642362628,-0.529621802658312,-0.6244347426597241,-0.6301664720739436,-0.6904866492361278,-0.6352806861728741,0.0684944972929925
CC4,1.9388275849753278,1.7436056427887083,1.9595871804136715,1.687787502884883,1.9100167589001975,1.8479649339925577,0.12360587294997824
CC5,5.70453112219289,5.177812250189451,5.537953645525064,5.309174533672434,5.650096025382364,5.47591351539244,0.22534461775970793
Base time,-3.6987287436330774,-3.6096571016039745,-3.6042772421161753,-3.6573400032972345,-3.66923655761346,-3.6478479296527846,0.04029073795202698
Post length,0.003893903517191883,-0.0031280563372738748,0.036535572437011984,0.07201624872347988,0.06642390718975126,0.035148315106032224,0.03457329362000621
Post Share Count,1.424422940614393,1.3510491256358577,1.3688981219635061,1.4021632159745758,2.0980176001356523,1.528910200864797,0.3194151080937397
H Local,0.6816584449402278,0.6464841187110616,0.6379132263969681,0.6787962397036196,0.641104192337559,0.6571912444178871,0.021274970546682186
Post Sunday,0.05598139135150498,-0.10157329231233454,-0.09185337914377947,-0.11223722975367012,-0.02996312710971319,-0.055929127393598475,0.07025443299691549
Post Monday,-0.10588797229136117,-0.027122584682104694,-0.07153428158562092,-0.10899067468815198,-0.08656255729914064,-0.08001961410927588,0.03324680812477859
Post Tuesday,-0.12805257500345849,-0.0488888964940933,-0.07656424121408918,-0.059090902028459874,-0.02641725051842285,-0.06780277305170473,0.038253087646950235
Post Wednesday,0.25426228170260406,0.1361300223651932,0.2158920215211645,0.2598051147208988,0.18600055743379904,0.21041799954873192,0.05125009310389096
Post Thursday,-0.04943114680713037,0.023833531271270837,-0.014308505792475713,0.07312188010441915,0.032323939901546105,0.013107939735526004,0.04676741612959
Post Friday,0.11071268379901499,0.09336644957947046,0.17770603826725936,0.055526905793023135,0.0549743065072008,0.09845727678919373,0.050473416708393386
Post Saturday,-0.14356147089347346,-0.0894125991604579,-0.15726761636350253,-0.1292119839882468,-0.14219530569824274,-0.1323297952207847,0.025966229141452926
Base Sunday,-0.08676560151083353,-0.14664239821553726,-0.09657680708975491,-0.16472241634748075,-0.11768162995449392,-0.12247777062362006,0.03293084123975377
Base Monday,0.03212956939745607,0.12923128109977383,0.0542692197360234,0.07926067147961431,0.11749130730578547,0.08247640980373061,0.04108786901376367
Base Tuesday,-0.11158434078977603,-0.07612132626468307,-0.051427897420818325,-0.09365275268018473,-0.04125140114083633,-0.07480754365925969,0.029077582834149178
Base Wednesday,0.20953983553200664,0.13046407576803998,0.2041258723662439,0.2622699634561177,0.22200653827677305,0.20568125707983625,0.04781142308400399
